"clapet","clapet","élément empêchant le retour de l'eau en arrière"
"batardeau","batardeau","barrage provisoire permettant la baisse du niveau d'eau en aval"
"ventouse","ventouse","élément permettant de chasser les gaz d'une conduite"
"vanne","vanne","élément d'ouverture ou fermeture d'un réseau"
"vanne_regul","Vanne de régulation","Vanne permettant la régulation de l'écoulement"
"orifice","orifice","ouverture calibrée permettant l'évacuation des eaux à une débit déterminé"
"barrage_poutrelle","barrage à poutrelle","ensemble de poutre assemblée formant une embâcle sur l'écoulement des eaux"
"porte_flots","porte à flots","élément de régulation pouvant être ouvert ou fermé suivant le niveau d'eau"
"venturi","venturi","canal à effet venturi permettant la mesure du débit"
"seuil","seuil","élément calibré en hauteur permettant le passage par surverse à un débit connu"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
