"sectorisation","sectorisation","comptage d'un secteur/ilot"
"production","production","comptage de sortie d'usine"
"recherche_fuite","recherche de fuite","compteur pour recherche de fuite"
"achat","achat","achat d'eau facturé"
"vente","vente","vente d'eau facturée"
"achat_vente","achat/vente","échange d'eau facturé"
"import","import","entrée d'eau sans facturation"
"export","export","sortie d'eau sans facturation"
"import_export","import/export","échange d'eau sans facturation"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
