"quart_tour","1/4 tour","fermeture par boisseau tounant sur 1 quart de tour"
"papillon","papillon","fermeture par pelle tournante sur axe central"
"opercule","à opercule","fermeture avec une double pelle revetue ou non"
"boisseau","à boisseau sphérique","fermeture par une boule tournante"
"diaphragme","à diaphragme","fermeture de type iris, ou appareil photo"
"pointeau","à pointeau","fermeture par obturation d’un passage"
"guillotine","guillotine","fermeture par pelle à glissement vertical (bord fin)"
"clapet","clapet","fermeture par clapet"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
